correctedSentence,elongated,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
collection sketch de chef hookedonwalls,0,5,7.0,1.2000000000000002,"[(('c', 'o', 'l'), 1), (('o', 'l', 'l'), 1), (('l', 'l', 'e'), 1), (('l', 'e', 'c'), 1), (('e', 'c', 't'), 1)]","[(('collection', 'sketch'), 1), (('sketch', 'de'), 1), (('de', 'chez'), 1), (('chez', 'hookedonwalls'), 1)]",['JeudiPhoto'],['https://t.co/wKbgjhkQpW'],1,0,0,0,0,1,0,0,0,80.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto portbou,0,2,8.5,2.25,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'portbou'), 1)]",['jeudiphoto'],['https://t.co/kD5mhvM2yb'],1,0,0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto instagram studio_phineas,0,3,11.0,2.0,"[(('u', 'd', 'i'), 2), (('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'instagram'), 1), (('instagram', 'studio_phineas'), 1)]",['jeudiphoto'],['https://t.co/EZF1xVuDwF'],1,0,0,0,0,1,0,0,0,33.33333333333333,0,0,0,0,0,0,66.66666666666666,0,0,0,0,0,0,0,0,Romance,French, 
early morning when the riverbanks of the belong to runners and perm more to see and on my,0,18,4.0,0.16666666666666669,"[((' ', 'm', 'o'), 2), (('m', 'o', 'r'), 2), (('n', 'g', ' '), 2), ((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2)]","[(('early', 'morning'), 1), (('morning', 'when'), 1), (('when', 'the'), 1), (('the', 'riverbanks'), 1), (('riverbanks', 'of'), 1)]","['Seine', 'Paris', 'photographers', 'follow', 'Instagram', 'photography', 'photooftheday', 'PhotographyIsArt', 'jeudiphoto']","['https://t.co/HcAw8tTWSg', 'https://t.co/jghRmAM50y']",9,0,0,0,0,2,5.555555555555555,16.666666666666664,0,22.22222222222222,22.22222222222222,0,11.11111111111111,11.11111111111111,0,0,0,11.11111111111111,0,0,0,0,0,0,0,Romance,French, 
tea time buona notate good night donne inuit,0,8,4.625,0.625,"[(('t', 'e', 'a'), 1), (('e', 'a', ' '), 1), (('a', ' ', 't'), 1), ((' ', 't', 'i'), 1), (('t', 'i', 'm'), 1)]","[(('tea', 'time'), 1), (('time', 'buona'), 1), (('buona', 'notte'), 1), (('notte', 'good'), 1), (('good', 'night'), 1)]","['Grasse', 'jeudiphoto', 'Dordogne']",['https://t.co/Qg4C2OlUWH'],3,0,0,0,0,1,12.5,0,0,50.0,0,0,12.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,Romance,French, 
jeudiphoto be carrelet chatelaillon page,0,5,7.2,1.7,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'le'), 1), (('le', 'carrelet'), 1), (('carrelet', 'chatelaillon'), 1), (('chatelaillon', 'plage'), 1)]",['JeudiPhoto'],['https://t.co/G57mMsXj5Z'],1,0,0,0,0,1,0,0,0,60.0,0,0,0,0,0,0,20.0,20.0,0,0,0,0,0,0,0,Romance,French, 
throwback to one of the best concert i went to with some awesome people palayeroyale,0,15,4.666666666666667,0.26666666666666666,"[((' ', 't', 'o'), 2), (('t', 'o', ' '), 2), (('s', 'o', 'm'), 2), (('o', 'm', 'e'), 2), (('m', 'e', ' '), 2)]","[(('throwback', 'to'), 1), (('to', 'one'), 1), (('one', 'of'), 1), (('of', 'the'), 1), (('the', 'best'), 1)]",['jeudiphoto'],['https://t.co/GvmgQsYXn4'],1,0,0,0,0,1,13.333333333333334,13.333333333333334,0,20.0,26.666666666666668,6.666666666666667,0,0,0,0,0,13.333333333333334,6.666666666666667,0,0,0,0,0,0,Romance,French, 
like this video right now t co nh2ljmd30j,0,8,4.25,0.9375,"[(('l', 'i', 'k'), 1), (('i', 'k', 'e'), 1), (('k', 'e', ' '), 1), (('e', ' ', 't'), 1), ((' ', 't', 'h'), 1)]","[(('like', 'this'), 1), (('this', 'video'), 1), (('video', 'right'), 1), (('right', 'now'), 1), (('now', 't'), 1)]","['fortnite', 'fortniteseason2', 'Coronvirus', 'blockchain', '8mars', 'COVID19', 'SpotifyAwards', 'jeudiphoto', 'gaming', 'videogames', 'michou', 'WorldBookDay', '5MARS', 'meme', 'me_irl', 'fun', 'lol', 'swag', 'FromageDansUntitre', 'festabbb', 'https']",['https://t.co/nH2Ljmd30J'],21,0,0,0,0,1,0,12.5,0,12.5,12.5,0,25.0,0,0,0,25.0,0,0,12.5,0,0,0,0,0,Romance,French, 
photographic underground atmosphere,0,3,11.0,0.5,"[(('u', 'n', 'd'), 2), (('p', 'h', 'o'), 1), (('h', 'o', 't'), 1), (('o', 't', 'o'), 1), (('t', 'o', 'g'), 1)]","[(('photographie', 'underground'), 1), (('underground', 'atmosphere'), 1)]","['Photographie', 'jeudiphoto']",['https://t.co/qkL8bwIcxF'],2,0,0,0,0,1,66.66666666666666,0,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
yeezy boost 350 v2 triple white,0,6,4.333333333333333,0.75,"[(('y', 'e', 'e'), 1), (('e', 'e', 'z'), 1), (('e', 'z', 'y'), 1), (('z', 'y', ' '), 1), (('y', ' ', 'b'), 1)]","[(('yeezy', 'boost'), 1), (('boost', '350'), 1), (('350', 'v2'), 1), (('v2', 'triple'), 1), (('triple', 'white'), 1)]","['yeezy', 'sneakers', 'jeudiphoto']",['https://t.co/mP3tkc61J3'],3,0,0,0,0,1,33.33333333333333,0,0,16.666666666666664,0,0,0,0,0,0,16.666666666666664,16.666666666666664,16.666666666666664,0,0,0,0,0,0,Romance,French, 
thomas barbed,0,2,6.0,0.75,"[(('t', 'h', 'o'), 1), (('h', 'o', 'm'), 1), (('o', 'm', 'a'), 1), (('m', 'a', 's'), 1), (('a', 's', ' '), 1)]","[(('thomas', 'barbey'), 1)]",['jeudiphoto'],['https://t.co/LUqrSJIPse'],1,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto sweet and talented vanning santoni today at theatrecapitole,0,9,6.888888888888889,1.0,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'sweet'), 1), (('sweet', 'and'), 1), (('and', 'talented'), 1), (('talented', 'vannina'), 1), (('vannina', 'santoni'), 1)]",['jeudiphoto'],['https://t.co/rCZoVGpl42'],1,0,0,0,0,1,22.22222222222222,0,0,33.33333333333333,11.11111111111111,0,11.11111111111111,11.11111111111111,0,0,11.11111111111111,0,0,0,0,0,0,0,0,Romance,French, 
colorado en route to mesa verde possibly yaks,1,8,4.75,0.1875,"[(('c', 'o', 'l'), 1), (('o', 'l', 'o'), 1), (('l', 'o', 'r'), 1), (('o', 'r', 'a'), 1), (('r', 'a', 'd'), 1)]","[(('colorado', 'en'), 1), (('en', 'route'), 1), (('route', 'to'), 1), (('to', 'mesa'), 1), (('mesa', 'verde'), 1)]","['jeudiphoto', 'bovine']",['https://t.co/z4pTuBBn0U'],2,0,0,0,0,1,0,12.5,0,25.0,12.5,0,12.5,0,0,0,37.5,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto follow me eur instagram bigvolpone,0,6,6.666666666666667,1.5,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'follow'), 1), (('follow', 'me'), 1), (('me', 'sur'), 1), (('sur', 'instagram'), 1), (('instagram', 'bigvolpone'), 1)]","['jeudiphoto', 'JeFaisDeLartDuBoutDeMesGriffes']",['https://t.co/3cLQo80Q3m'],2,0,0,0,0,1,0,0,0,0,0,16.666666666666664,0,0,0,0,49.99999999999999,16.666666666666664,0,16.666666666666664,0,0,0,0,0,Romance,French, 
new quay cornwall national day of cornwall jeudiphoto,2,8,5.75,3.928571428571429,"[(('a', 'y', ' '), 2), ((' ', 'c', 'o'), 2), (('c', 'o', 'r'), 2), (('o', 'r', 'n'), 2), (('r', 'n', 'w'), 2)]","[(('newquay', 'cornwall'), 1), (('cornwall', 'national'), 1), (('national', 'day'), 1), (('day', 'of'), 1), (('of', 'cornwall'), 1)]","['jeudiphoto', 'blueskies']",['https://t.co/rZBFfFnt6U'],2,0,0,0,0,1,25.0,0,0,12.5,12.5,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Romance,French, 
monkey mia natural dolphin reserve western australia jeudiphoto,1,8,7.0,0.6875,"[(('i', 'a', ' '), 2), (('r', 'a', 'l'), 2), (('m', 'o', 'n'), 1), (('o', 'n', 'k'), 1), (('n', 'k', 'e'), 1)]","[(('monkey', 'mia'), 1), (('mia', 'natural'), 1), (('natural', 'dolphin'), 1), (('dolphin', 'reserve'), 1), (('reserve', 'western'), 1)]","['jeudiphoto', 'bottlenosedolphins', 'sharkbay', 'peronpenisula']",['https://t.co/NbEdvveUuR'],4,0,0,0,0,1,25.0,0,0,37.5,0,0,0,0,0,0,25.0,12.5,0,0,0,0,0,0,0,Romance,French, 
mevagissey cornwall happy st pirian s day,1,7,5.0,1.0,"[(('m', 'e', 'v'), 1), (('e', 'v', 'a'), 1), (('v', 'a', 'g'), 1), (('a', 'g', 'i'), 1), (('g', 'i', 's'), 1)]","[(('mevagissey', 'cornwall'), 1), (('cornwall', 'happy'), 1), (('happy', 'st'), 1), (('st', 'pirian'), 1), (('pirian', 's'), 1)]","['NationalDayofCornwall', 'fishingport', 'prettyvillages', 'blueskies', 'jeudiphoto']",['https://t.co/iVSp69aMK2'],5,0,0,0,0,1,14.285714285714285,0,0,28.57142857142857,0,0,0,0,0,0,28.57142857142857,14.285714285714285,0,14.285714285714285,0,0,0,0,0,Romance,French, 
fort,0,1,4.0,0.0,"[(('f', 'o', 'r'), 1), (('o', 'r', 't'), 1)]",[],['jeudiphoto'],['https://t.co/zMypegWRy2'],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Romance,French, 
drone shots follow on instagram _alessandroreggiani_ travelandtrip,0,7,8.571428571428571,0.21428571428571427,"[(('d', 'r', 'o'), 2), (('a', 'n', 'd'), 2), (('r', 'o', 'n'), 1), (('o', 'n', 'e'), 1), (('n', 'e', ' '), 1)]","[(('drone', 'shots'), 1), (('shots', 'follow'), 1), (('follow', 'on'), 1), (('on', 'instagram'), 1), (('instagram', '_alessandroreggiani_'), 1)]","['bonuscultura', '5marzo', 'onepiece973', 'Tottenham', 'coronavirus', 'COVID', 'skamitalia', 'NeverWornWhite', 'drone', 'droneshots', 'RIPTwitter', 'CoronaAlert', 'jeudiphoto', 'UnidosPorReyyan', 'Video', 'COVID19', 'Elite3']",['https://t.co/t5VbBqmAN2'],17,0,0,0,0,1,0,0,0,28.57142857142857,14.285714285714285,0,0,0,0,0,42.857142857142854,14.285714285714285,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto usinage en coups machining under process,0,7,6.428571428571429,0.7142857142857143,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'usinage'), 1), (('usinage', 'en'), 1), (('en', 'cours'), 1), (('cours', 'machining'), 1), (('machining', 'under'), 1)]","['jeudiphoto', 'avgeek', 'Engineering']",['https://t.co/SQhpnCKmG5'],3,0,0,0,0,1,0,14.285714285714285,0,42.857142857142854,14.285714285714285,0,0,0,0,0,28.57142857142857,0,0,0,0,0,0,0,0,Romance,French, 
bad boys,0,2,3.5,0.0,"[(('b', 'a', 'd'), 1), (('a', 'd', ' '), 1), (('d', ' ', 'b'), 1), ((' ', 'b', 'o'), 1), (('b', 'o', 'y'), 1)]","[(('bad', 'boys'), 1)]",['JeudiPhoto'],['https://t.co/CeGDzj7aQq'],1,0,0,0,0,1,50.0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto international brussels tattoo convention 19,0,6,8.166666666666666,0.75,"[(('t', 'i', 'o'), 2), (('i', 'o', 'n'), 2), (('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1)]","[(('jeudiphoto', 'international'), 1), (('international', 'brussels'), 1), (('brussels', 'tattoo'), 1), (('tattoo', 'convention'), 1), (('convention', '19'), 1)]",['jeudiphoto'],['https://t.co/0ATDKk5Xyn'],1,0,0,0,0,1,16.666666666666664,0,0,33.33333333333333,0,0,0,0,0,0,33.33333333333333,0,16.666666666666664,0,0,0,0,0,0,Romance,French, 
photo by laetitia beady,0,4,5.0,0.5,"[(('p', 'h', 'o'), 1), (('h', 'o', 't'), 1), (('o', 't', 'o'), 1), (('t', 'o', ' '), 1), (('o', ' ', 'b'), 1)]","[(('photo', 'by'), 1), (('by', 'laetitia'), 1), (('laetitia', 'benady'), 1)]","['jeudiphoto', 'photooftheday', 'picoftheday', 'blackandwhite', 'tbt', 'Paris2020', 'France']",['https://t.co/fFJhJEYMbj'],7,0,0,0,0,1,25.0,0,0,25.0,25.0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,Romance,French, 
somewhere over the rainbow,0,4,5.75,0.0,"[(('s', 'o', 'm'), 1), (('o', 'm', 'e'), 1), (('m', 'e', 'w'), 1), (('e', 'w', 'h'), 1), (('w', 'h', 'e'), 1)]","[(('somewhere', 'over'), 1), (('over', 'the'), 1), (('the', 'rainbow'), 1)]","['jeudiphoto', 'VINCIAirports', 'buisiness', 'privatejet']",['https://t.co/knt9aMk2sO'],4,0,0,0,0,1,0,25.0,0,25.0,25.0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
sunrise amp clouds villedesete pixel 3a inst morgan_pch,0,8,6.0,0.875,"[(('s', 'u', 'n'), 1), (('u', 'n', 'r'), 1), (('n', 'r', 'i'), 1), (('r', 'i', 's'), 1), (('i', 's', 'e'), 1)]","[(('sunrise', 'amp'), 1), (('amp', 'clouds'), 1), (('clouds', 'villedesete'), 1), (('villedesete', 'pixel'), 1), (('pixel', '3a'), 1)]","['jeudiphoto', 'teampixel']",['https://t.co/LjaGpfJfaJ'],2,0,0,0,0,1,0,0,0,62.5,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,Romance,French, 
be kip focus on providing a unique luxurious driving experience anywhere in dubai we are experts in the world of luxury car rental call 971522447777,1,25,4.96,0.5,"[(('u', 's', ' '), 2), (('i', 'n', 'g'), 2), (('n', 'g', ' '), 2), ((' ', 'l', 'u'), 2), (('l', 'u', 'x'), 2)]","[(('be', 'vip'), 1), (('vip', 'focus'), 1), (('focus', 'on'), 1), (('on', 'providing'), 1), (('providing', 'a'), 1)]","['___', 'KhalilUrRahmanQamar', 'RIPTwitter', 'Coronvirus', 'T20WorldCup', 'WorldBookDay', 'jeudiphoto']",['https://t.co/47GLcgxYD8'],7,0,0,0,0,1,8.0,8.0,0,32.0,16.0,4.0,4.0,0,0,0,4.0,20.0,4.0,0,0,0,0,0,0,Romance,French, 
rip twitter katy berry card b daddy mommy 18 porn sugar sex money,0,13,4.076923076923077,2.625,"[((' ', 'm', 'o'), 2), (('r', 'i', 'p'), 1), (('i', 'p', ' '), 1), (('p', ' ', 't'), 1), ((' ', 't', 'w'), 1)]","[(('riptwitter', 'katy'), 1), (('katy', 'perry'), 1), (('perry', 'cardi'), 1), (('cardi', 'b'), 1), (('b', 'daddy'), 1)]","['RIPTwitter', 'Coronvirus', 'Covid_19', 'coronavirus', 'jeudiphoto', 'EURO2020', 'COVID19', 'EnglishVocabularySizeTest', 'NCT127_KickIt', 'Hidalgo', 'LPPR', 'EnglishVocabularySizeTest', 'CoronaAlert', 'Hanau', 'Flybecollapse']",['https://t.co/XzcNlcvksB'],15,0,0,0,0,1,0,0,0,61.53846153846154,0,0,0,0,0,0,23.076923076923077,7.6923076923076925,7.6923076923076925,0,0,0,0,0,0,Romance,French, 
golden lady canonfrance maris,0,4,6.5,1.0,"[(('g', 'o', 'l'), 1), (('o', 'l', 'd'), 1), (('l', 'd', 'e'), 1), (('d', 'e', 'n'), 1), (('e', 'n', ' '), 1)]","[(('golden', 'lady'), 1), (('lady', 'canonfrance'), 1), (('canonfrance', 'paris'), 1)]","['jeudiphoto', 'Paris']",['https://t.co/OCMcAuBBnO'],2,0,0,0,0,1,25.0,0,0,50.0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,Romance,French, 
recette via saveurhealthy porridge aux carottes,0,6,7.0,0.8333333333333334,"[(('t', 't', 'e'), 2), (('r', 'e', 'c'), 1), (('e', 'c', 'e'), 1), (('c', 'e', 't'), 1), (('e', 't', 't'), 1)]","[(('recette', 'via'), 1), (('via', 'saveurhealthy'), 1), (('saveurhealthy', 'porridge'), 1), (('porridge', 'aux'), 1), (('aux', 'carottes'), 1)]","['Recette', 'porridge', 'carotte', 'food', 'yummy', 'bon', 'plat', 'faitmaison', 'jeudiphoto']","['https://t.co/xAThJ0g6Qn', 'https://t.co/kuPzhoBkPl']",9,0,0,0,0,2,0,0,0,49.99999999999999,16.666666666666664,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,Romance,French, 
thomas barbed,0,2,6.0,0.75,"[(('t', 'h', 'o'), 1), (('h', 'o', 'm'), 1), (('o', 'm', 'a'), 1), (('m', 'a', 's'), 1), (('a', 's', ' '), 1)]","[(('thomas', 'barbey'), 1)]",['jeudiphoto'],['https://t.co/3jLbbP1UaJ'],1,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Romance,French, 
who is the man that would risk his neck for his brother man,0,13,3.6153846153846154,0.19230769230769232,"[(('i', 's', ' '), 3), ((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), ((' ', 'm', 'a'), 2), (('m', 'a', 'n'), 2)]","[(('who', 'is'), 1), (('is', 'the'), 1), (('the', 'man'), 1), (('man', 'that'), 1), (('that', 'would'), 1)]","['cinema', 'jeudiphoto', 'Hollywood', 'soul']",[],4,0,0,0,0,0,0,23.076923076923077,0,30.76923076923077,15.384615384615385,7.6923076923076925,0,0,0,0,0,23.076923076923077,0,0,0,0,0,0,0,Romance,French, 
the weather is miserable the world is a tough place but i just received some lovely flowers so la vie est belle,1,22,4.090909090909091,0.22727272727272727,"[(('t', 'h', 'e'), 3), (('h', 'e', ' '), 2), (('e', ' ', 'w'), 2), ((' ', 'i', 's'), 2), (('i', 's', ' '), 2)]","[(('the', 'weather'), 1), (('weather', 'is'), 1), (('is', 'miserable'), 1), (('miserable', 'the'), 1), (('the', 'world'), 1)]","['flowerpower', 'ThankYou', 'jeudiphoto']",['https://t.co/hfWSdl5YuB'],3,0,0,0,0,1,13.636363636363637,18.181818181818183,0,18.181818181818183,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,0,0,18.181818181818183,13.636363636363637,0,0,0,0,0,0,0,Romance,French, 
the best place publique,0,4,5.0,0.375,"[(('t', 'h', 'e'), 1), (('h', 'e', ' '), 1), (('e', ' ', 'b'), 1), ((' ', 'b', 'e'), 1), (('b', 'e', 's'), 1)]","[(('the', 'best'), 1), (('best', 'place'), 1), (('place', 'publique'), 1)]","['Municipales2020', 'Coronvirus', 'RIPTwitter', 'coronavirus', 'CoronaAlert', 'Hanau', 'jeudiphoto', 'CamilleOffreMoiLesCharrues', 'COVID19', 'COVID19', 'JourDuDereglement', 'festabbb', 'NeverWornWhite', 'Strasbourg', 'cokseksikadinlar', 'pentil']",['https://t.co/rmJyM2HiCA'],16,0,0,0,0,1,25.0,25.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
sunset in do you see the mont blanch from afar big living town and the mountains are not far away too so lucky to capture such a scene,0,28,3.8214285714285716,0.1607142857142857,"[((' ', 't', 'o'), 3), ((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), (('e', ' ', 'm'), 2)]","[(('sunset', 'in'), 1), (('in', 'do'), 1), (('do', 'you'), 1), (('you', 'see'), 1), (('see', 'the'), 1)]","['Lyon', 'JeudiPhoto', 'OnlyLyon', 'RhoneAlpes', 'AuvergneRhoneAlpes', 'ChamonixMontBlanc', 'photographie', 'coucherdesoleil', 'LUMIX', 'FullFrame']",['https://t.co/X0Tta7FJFU'],10,0,0,0,0,1,10.714285714285714,10.714285714285714,0,14.285714285714285,10.714285714285714,3.571428571428571,21.428571428571423,3.571428571428571,0,0,7.142857142857142,17.857142857142854,0,0,0,0,0,0,0,Romance,French, 
