correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
bang you shot me down,bang bang you shot me down..... ,1,0,5,3.4,1.6666666666666667,"[(('b', 'a', 'n'), 1), (('a', 'n', 'g'), 1), (('n', 'g', ' '), 1), (('g', ' ', 'y'), 1), ((' ', 'y', 'o'), 1)]","[(('bang', 'bang'), 1), (('bang', 'you'), 1), (('you', 'shot'), 1), (('shot', 'me'), 1), (('me', 'down'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,20.0,0,0,0,0,0,20.0,0,40.0,0,0,0,0,0,40.0,0,0,20.0,0,0,0,0,Greek,Greek, 
the turkish armed forces ship tanks and soldiers to the creek border," 

The Turkish Armed Forces ship tanks and soldiers to the Greek border.

    ",0,0,12,4.75,0.125,"[(('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), (('e', ' ', 't'), 1), ((' ', 't', 'u'), 1), (('t', 'u', 'r'), 1)]","[(('the', 'turkish'), 1), (('turkish', 'armed'), 1), (('armed', 'forces'), 1), (('forces', 'ship'), 1), (('ship', 'tanks'), 1)]","['BREAKING', 'annitakoita', 'volpao', 'thefinal4gr', 'adinamoskrikosgr']",[],[],5,0,0,8.333333333333332,0,0,16.666666666666664,16.666666666666664,0,41.66666666666666,8.333333333333332,0,0,8.333333333333332,0,0,8.333333333333332,0,0,0,0,0,0,0,0,Greek,Greek, 
bank,"Bank Bank
 ",0,0,1,4.0,0.0,"[(('b', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]","[(('bank', 'bank'), 1)]",['AdinamosKrikosGr'],['https://t.co/V39iujjAMU'],[],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,Greek,Greek, 
the creek navy has entered a red alert turkish warplanes are flying in the region,"

The Greek Navy has entered a red alert. Turkish warplanes are flying in the region.

   ",0,0,15,4.466666666666667,0.23333333333333334,"[(('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), (('r', 'e', 'd'), 2), (('e', 'd', ' '), 2), (('d', ' ', 'a'), 2)]","[(('the', 'greek'), 1), (('greek', 'navy'), 1), (('navy', 'has'), 1), (('has', 'entered'), 1), (('entered', 'a'), 1)]","['BREAKING', 'volpao', 'thefinal4gr', 'adinamoskrikosgr']",[],[],4,0,0,13.333333333333334,0,0,20.0,20.0,0,26.666666666666668,6.666666666666667,0,0,0,0,0,0,26.666666666666668,0,0,0,0,0,0,0,Greek,Greek, 
santa claus is come to to,Santa Klaus is come to to? to? to? ,0,0,6,3.3333333333333335,0.20833333333333331,"[((' ', 't', 'o'), 2), (('s', 'a', 'n'), 1), (('a', 'n', 't'), 1), (('n', 't', 'a'), 1), (('t', 'a', ' '), 1)]","[(('to', 'to'), 3), (('santa', 'klaus'), 1), (('klaus', 'is'), 1), (('is', 'come'), 1), (('come', 'to'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,49.99999999999999,0,0,0,0,0,0,66.66666666666666,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,Greek,Greek, 
brothers, brothers ,0,0,1,8.0,0.0,"[(('b', 'r', 'o'), 1), (('r', 'o', 't'), 1), (('o', 't', 'h'), 1), (('t', 'h', 'e'), 1), (('h', 'e', 'r'), 1)]",[],['adinamoskrikosgr'],['https://t.co/sCv02552M1'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
hahahahahahahha,Hahahahahahahha!  ,0,0,1,15.0,0.0,"[(('h', 'a', 'h'), 6), (('a', 'h', 'a'), 5), (('a', 'h', 'h'), 1), (('h', 'h', 'a'), 1)]",[],['adinamoskrikosgr'],['https://t.co/AdVAVbZLyt'],[],1,0,0,100.0,0,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
its not amazing its not fantastic,Its not amazing its not fantastic  ,0,0,6,4.666666666666667,0.0,"[(('i', 't', 's'), 2), (('t', 's', ' '), 2), (('s', ' ', 'n'), 2), ((' ', 'n', 'o'), 2), (('n', 'o', 't'), 2)]","[(('its', 'not'), 2), (('not', 'amazing'), 1), (('amazing', 'its'), 1), (('not', 'fantastic'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,33.33333333333333,0,0,0,0,0,33.33333333333333,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
mood, mood ,0,0,1,4.0,0.0,"[(('m', 'o', 'o'), 1), (('o', 'o', 'd'), 1)]",[],['Adinamoskrikosgr'],['https://t.co/4TRvd0lo4c'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
tragic,Tragic ,0,0,1,6.0,0.0,"[(('t', 'r', 'a'), 1), (('r', 'a', 'g'), 1), (('a', 'g', 'i'), 1), (('g', 'i', 'c'), 1)]",[],['adinamoskrikosgr'],[],[],1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
no comment," 
no comment!  ",0,0,2,4.5,0.25,"[(('n', 'o', ' '), 1), (('o', ' ', 'c'), 1), ((' ', 'c', 'o'), 1), (('c', 'o', 'm'), 1), (('o', 'm', 'm'), 1)]","[(('no', 'comment'), 1)]",['adinamoskrikosgr'],['https://t.co/bFdkPkIJYj'],[],1,0,0,50.0,0,1,0,50.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
b an n k," 

B A N K! ",0,0,4,1.25,0.625,"[(('b', ' ', 'a'), 1), ((' ', 'a', 'n'), 1), (('a', 'n', ' '), 1), (('n', ' ', 'n'), 1), ((' ', 'n', ' '), 1)]","[(('b', 'a'), 1), (('a', 'n'), 1), (('n', 'k'), 1)]",['adinamoskrikosgr'],['https://t.co/hO14kDiF4A'],[],1,0,0,25.0,0,1,0,25.0,0,0,0,0,0,0,0,0,50.0,25.0,0,0,0,0,0,0,0,Greek,Greek, 
bank,BANK!!!  ,1,1,1,4.0,0.0,"[(('b', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]",[],['adinamoskrikosgr'],['https://t.co/iDjZa14E0P'],[],1,0,0,100.0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
baaaank,Baaaank  ,1,0,1,7.0,1.5,"[(('a', 'a', 'a'), 2), (('b', 'a', 'a'), 1), (('a', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]",[],['adinamoskrikosgr'],[],['@constant_bank'],1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
bank that awful sound bank my baby shot me down,"BANK BANK
That awful sound
BANK BANK
My baby shot me down ",0,4,10,3.8,1.8833333333333333,"[(('b', 'a', 'n'), 2), (('a', 'n', 'k'), 2), (('n', 'k', ' '), 2), ((' ', 'b', 'a'), 2), (('k', ' ', 't'), 1)]","[(('bank', 'bank'), 2), (('bank', 'that'), 1), (('that', 'awful'), 1), (('awful', 'sound'), 1), (('sound', 'bank'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,10.0,20.0,0,50.0,0,10.0,0,0,0,0,20.0,0,0,0,10.0,0,0,0,0,Greek,Greek, 
i don t get this game they all know each other tandbthey are competing getting more money or is a reality with funny faces,"I don't get this game, they all know each other tandbthey are competing getting more money??? Or is a reality with funny faces :) ",1,0,24,4.125,0.22916666666666666,"[(('t', 'h', 'e'), 3), (('e', 'y', ' '), 3), ((' ', 'g', 'e'), 2), (('g', 'e', 't'), 2), ((' ', 't', 'h'), 2)]","[(('i', 'don'), 1), (('don', 't'), 1), (('t', 'get'), 1), (('get', 'this'), 1), (('this', 'game'), 1)]",['adinamoskrikosgr'],[],[],1,0,4.166666666666666,8.333333333333332,0,0,12.499999999999998,16.666666666666664,0,20.83333333333333,4.166666666666666,8.333333333333332,0,4.166666666666666,0,0,0,29.166666666666657,0,0,0,0,0,0,0,Greek,Greek, 
am a bambi girl,Im a bambi girl.... ,1,0,4,3.0,0.625,"[(('a', 'm', ' '), 1), (('m', ' ', 'a'), 1), ((' ', 'a', ' '), 1), (('a', ' ', 'b'), 1), ((' ', 'b', 'a'), 1)]","[(('im', 'a'), 1), (('a', 'bambi'), 1), (('bambi', 'girl'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,25.0,0,0,0,25.0,0,25.0,0,0,0,0,25.0,0,25.0,0,0,0,0,0,0,0,0,Greek,Greek, 
i see dead people,I see dead people ,0,0,4,3.5,0.125,"[(('i', ' ', 's'), 1), ((' ', 's', 'e'), 1), (('s', 'e', 'e'), 1), (('e', 'e', ' '), 1), (('e', ' ', 'd'), 1)]","[(('i', 'see'), 1), (('see', 'dead'), 1), (('dead', 'people'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,25.0,0,0,25.0,0,25.0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,Greek,Greek, 
i love your english dear tacos,"I love your english, dear Tasos!! ",0,0,6,4.166666666666667,0.5833333333333334,"[(('i', ' ', 'l'), 1), ((' ', 'l', 'o'), 1), (('l', 'o', 'v'), 1), (('o', 'v', 'e'), 1), (('v', 'e', ' '), 1)]","[(('i', 'love'), 1), (('love', 'your'), 1), (('your', 'english'), 1), (('english', 'dear'), 1), (('dear', 'tasos'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,33.33333333333333,0,0,0,16.666666666666664,0,33.33333333333333,0,16.666666666666664,0,0,0,0,16.666666666666664,16.666666666666664,0,0,0,0,0,0,0,Greek,Greek, 
i like it,"
I like it",0,0,3,2.3333333333333335,0.5,"[(('i', ' ', 'l'), 1), ((' ', 'l', 'i'), 1), (('l', 'i', 'k'), 1), (('i', 'k', 'e'), 1), (('k', 'e', ' '), 1)]","[(('i', 'like'), 1), (('like', 'it'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,0,0,0,0,0,66.66666666666666,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Greek,Greek, 
hash tag not,Hashtag NOT ,0,1,3,3.3333333333333335,1.5,"[(('h', 'a', 's'), 1), (('a', 's', 'h'), 1), (('s', 'h', ' '), 1), (('h', ' ', 't'), 1), ((' ', 't', 'a'), 1)]","[(('hashtag', 'not'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
my name is bond tacos bond,"My name is Bond, Tasos Bond ",0,0,6,3.5,0.5,"[(('s', ' ', 'b'), 2), ((' ', 'b', 'o'), 2), (('b', 'o', 'n'), 2), (('o', 'n', 'd'), 2), (('m', 'y', ' '), 1)]","[(('my', 'name'), 1), (('name', 'is'), 1), (('is', 'bond'), 1), (('bond', 'tasos'), 1), (('tasos', 'bond'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,16.666666666666664,0,0,0,16.666666666666664,0,16.666666666666664,0,0,0,0,0,0,49.99999999999999,16.666666666666664,0,0,0,0,0,0,0,Greek,Greek, 
it s complicated,It's complicated? ,0,0,3,4.666666666666667,0.5,"[(('i', 't', ' '), 1), (('t', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 'c'), 1), ((' ', 'c', 'o'), 1)]","[(('it', 's'), 1), (('s', 'complicated'), 1)]",['Adinamoskrikosgr'],[],[],1,0,0,33.33333333333333,0,0,33.33333333333333,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
bank bank baaaaaaaankkkk,Bank bank bank baaaaaaaankkkk ,1,0,3,7.333333333333333,2.916666666666667,"[(('a', 'a', 'a'), 6), (('a', 'n', 'k'), 3), (('b', 'a', 'n'), 2), (('n', 'k', ' '), 2), (('k', ' ', 'b'), 2)]","[(('bank', 'bank'), 2), (('bank', 'baaaaaaaankkkk'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,0,0,0,99.99999999999999,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,Greek,Greek, 
it s the most wonderful time of the week,Its the most wonderful time...of the week ,1,0,9,3.5555555555555554,2.125,"[((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), (('i', 't', ' '), 1), (('t', ' ', 's'), 1)]","[(('its', 'the'), 1), (('the', 'most'), 1), (('most', 'wonderful'), 1), (('wonderful', 'time'), 1), (('time', 'of'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,11.11111111111111,0,0,11.11111111111111,22.22222222222222,0,22.22222222222222,11.11111111111111,0,11.11111111111111,0,11.11111111111111,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
here we go again love them to the end,Here we go again!   love them to the end!,0,0,9,3.2222222222222223,0.05555555555555555,"[((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), (('h', 'e', 'r'), 1), (('e', 'r', 'e'), 1), (('r', 'e', ' '), 1)]","[(('here', 'we'), 1), (('we', 'go'), 1), (('go', 'again'), 1), (('again', 'love'), 1), (('love', 'them'), 1)]","['TasosTryfonos', 'adinamoskrikosgr']",[],[],2,0,0,22.22222222222222,0,0,0,11.11111111111111,0,11.11111111111111,11.11111111111111,22.22222222222222,22.22222222222222,0,0,0,0,22.22222222222222,0,0,0,0,0,0,0,Greek,Greek, 
mono facebook,"
mOnO fAcEbOoK",0,0,2,6.0,0.25,"[(('m', 'o', 'n'), 1), (('o', 'n', 'o'), 1), (('n', 'o', ' '), 1), (('o', ' ', 'f'), 1), ((' ', 'f', 'a'), 1)]","[(('mono', 'facebook'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Greek,Greek, 
hi how co you co,Hi! How bo you bo?? ,0,0,5,2.4,0.8,"[((' ', 'c', 'o'), 2), (('h', 'i', ' '), 1), (('i', ' ', 'h'), 1), ((' ', 'h', 'o'), 1), (('h', 'o', 'w'), 1)]","[(('hi', 'how'), 1), (('how', 'bo'), 1), (('bo', 'you'), 1), (('you', 'bo'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,40.0,0,0,0,0,20.0,0,20.0,20.0,20.0,0,0,0,20.0,0,0,0,0,0,0,0,0,Greek,Greek, 
bank you shoot me down bank, BANK BANK you shoot me down BANK BANK...........,1,4,6,3.6666666666666665,1.875,"[(('b', 'a', 'n'), 2), (('a', 'n', 'k'), 2), (('n', 'k', ' '), 1), (('k', ' ', 'y'), 1), ((' ', 'y', 'o'), 1)]","[(('bank', 'bank'), 2), (('bank', 'you'), 1), (('you', 'shoot'), 1), (('shoot', 'me'), 1), (('me', 'down'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,16.666666666666664,0,0,0,0,0,0,0,33.33333333333333,16.666666666666664,0,0,0,66.66666666666666,16.666666666666664,0,0,0,0,0,0,0,Greek,Greek, 
i ll send a cos to the world,I'll send an SOS to the world ,0,1,8,2.625,0.5,"[(('i', ' ', 'l'), 1), ((' ', 'l', 'l'), 1), (('l', 'l', ' '), 1), (('l', ' ', 's'), 1), ((' ', 's', 'e'), 1)]","[(('i', 'll'), 1), (('ll', 'send'), 1), (('send', 'an'), 1), (('an', 'sos'), 1), (('sos', 'to'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,0,25.0,0,12.5,12.5,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,Greek,Greek, 
my animals are slow, My animals are slow!,0,0,4,4.0,0.0,"[(('m', 'y', ' '), 1), (('y', ' ', 'a'), 1), ((' ', 'a', 'n'), 1), (('a', 'n', 'i'), 1), (('n', 'i', 'm'), 1)]","[(('my', 'animals'), 1), (('animals', 'are'), 1), (('are', 'slow'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,25.0,0,0,25.0,25.0,0,25.0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,Greek,Greek, 
i love bassos,I love  Tassos ,0,0,3,3.6666666666666665,1.0,"[(('i', ' ', 'l'), 1), ((' ', 'l', 'o'), 1), (('l', 'o', 'v'), 1), (('o', 'v', 'e'), 1), (('v', 'e', ' '), 1)]","[(('i', 'love'), 1), (('love', 'tassos'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,Greek,Greek, 
my name is tacos,"My name is Tasos
 ",0,0,4,3.25,0.5,"[(('m', 'y', ' '), 1), (('y', ' ', 'n'), 1), ((' ', 'n', 'a'), 1), (('n', 'a', 'm'), 1), (('a', 'm', 'e'), 1)]","[(('my', 'name'), 1), (('name', 'is'), 1), (('is', 'tasos'), 1)]",['adinamoskrikosgr'],['https://t.co/63uwp02Qf9'],[],1,0,0,0,0,1,0,25.0,0,25.0,0,0,0,0,0,0,25.0,25.0,0,0,0,0,0,0,0,Greek,Greek, 
bank,BANK !!! BANK !!! ,2,2,1,4.0,0.0,"[(('b', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]","[(('bank', 'bank'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,200.0,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
it s not amazing or fantastic it s only tragic,"It's not amazing or fantastic, it's only TRAGIC ",0,1,10,3.7,0.4,"[(('i', 't', ' '), 2), (('t', ' ', 's'), 2), ((' ', 's', ' '), 2), (('s', ' ', 'n'), 1), ((' ', 'n', 'o'), 1)]","[(('it', 's'), 2), (('s', 'not'), 1), (('not', 'amazing'), 1), (('amazing', 'or'), 1), (('or', 'fantastic'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,10.0,0,0,30.0,0,0,0,0,0,20.0,10.0,20.0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
its amazing it s fantastic,"Its amazing, it's fantastic!!! ",1,0,5,4.4,0.3,"[(('i', 't', 's'), 1), (('t', 's', ' '), 1), (('s', ' ', 'a'), 1), ((' ', 'a', 'm'), 1), (('a', 'm', 'a'), 1)]","[(('its', 'amazing'), 1), (('amazing', 'it'), 1), (('it', 's'), 1), (('s', 'fantastic'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,40.0,0,0,40.0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
burks are coming mont be fool surrender immediately,"Turks are coming dont be fool. surrender immediately
   ",0,0,8,5.5,0.3125,"[(('b', 'u', 'r'), 1), (('u', 'r', 'k'), 1), (('r', 'k', 's'), 1), (('k', 's', ' '), 1), (('s', ' ', 'a'), 1)]","[(('turks', 'are'), 1), (('are', 'coming'), 1), (('coming', 'dont'), 1), (('dont', 'be'), 1), (('be', 'fool'), 1)]","['annitakoita', 'volpao', 'thefinal4gr', 'adinamoskrikosgr']",[],[],4,0,0,12.5,0,0,0,0,0,12.5,0,0,12.5,0,0,0,12.5,62.5,0,0,0,0,0,0,0,Greek,Greek, 
